crime,number,location,BEAT,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,county,postcode,ZONE,crimeid_x,dateid,neighborhoodid,npuid,neighbourhood_lookupid,locationid,BEATid,ZONEid,day,month,quarter,year,count_crime_type
AUTO THEFT,103040061,850 OAK ST SW,401,West End,T,33.74057,-84.4168,office,Oak Street Southwest,West End,Fulton County,30310,4,1,1,1,1,1,1,1,1,31,10,4,2010,1
LARCENY-FROM VEHICLE,103040169,1344 METROPOLITAN PKWY SW,301,Capitol View Manor,X,33.71803,-84.40774,shop,Metropolitan Parkway Southwest,Capitol View,Fulton County,30310,3,2,1,2,2,2,2,2,2,31,10,4,2010,1
LARCENY-NON VEHICLE,103040301,JOHN WESLEY DOBBS AVE NE / CORLEY ST NE,604,Old Fourth Ward,M,33.75947,-84.36626,house_number,John Wesley Dobbs Avenue Northeast,Inman Park,Fulton County,30312,6,3,1,3,3,3,3,3,3,31,10,4,2010,1
ROBBERY-PEDESTRIAN,103040345,MYRTLE DR @ PLAZA LN,410,Campbellton Road,R,33.70537,-84.45498,house_number,Myrtle Drive Southwest,Adams Park,Fulton County,30311,4,4,1,4,4,4,4,4,1,31,10,4,2010,1
LARCENY-NON VEHICLE,103040385,1980 DELOWE DR SW,410,Campbellton Road,R,33.70121,-84.45724,house_number,Delowe Drive Southwest,Adams Park,Fulton County,30311,4,3,1,4,4,4,5,4,1,31,10,4,2010,1
LARCENY-FROM VEHICLE,103040412,229 PEACHTREE ST NE,509,Downtown,M,33.7604,-84.38746,building,Peachtree Street Northeast,Hotel District,Fulton County,30303,5,2,1,5,3,5,6,5,4,31,10,4,2010,1
AGG ASSAULT,103040443,1083 EUCLID AVE NE,602,Inman Park,N,33.76309,-84.3516,house_number,Euclid Avenue Northeast,Little Five Points,Fulton County,30307,6,5,1,6,5,6,7,6,3,31,10,4,2010,1
AGG ASSAULT,103040472,2315 DONALD LEE HOLLOWELL BLVD NW ,109,Center Hill,J,33.77725,-84.46072,amenity,Donald Lee Hollowell Parkway Northwest,Center Hill,Fulton County,30318,1,5,1,7,6,7,8,7,5,31,10,4,2010,1
LARCENY-FROM VEHICLE,103040504,800 SIDNEY MARCUS BLVD NE,211,Lindbergh/Morosgo,B,33.82674,-84.36131,house_number,Sidney Marcus Boulevard Northeast,Lindbergh,Fulton County,30324,2,2,1,8,7,8,9,8,6,31,10,4,2010,1
RAPE,103040611,210 PEACHTREE ST,508,Downtown,M,33.75946,-84.38769,tourism,Ted Turner Drive Northwest,Five Points,Fulton County,30303,5,6,1,5,3,9,10,9,4,31,10,4,2010,1
AUTO THEFT,103040890,202 RICHARDSON ST SW ,303,Mechanicsville,V,33.74075,-84.39454,house_number,Pryor Street Southwest,Mechanicsville,Fulton County,30312,3,1,1,9,8,10,11,10,2,31,10,4,2010,1
LARCENY-FROM VEHICLE,103040928,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82543,-84.36706,amenity,Piedmont Road Northeast,Lindbergh,Fulton County,30305,2,2,1,8,7,8,12,8,6,31,10,4,2010,1
LARCENY-NON VEHICLE,103040964,678 HILL ST SE,605,Grant Park,W,33.73611,-84.37812,house_number,Hill Street Southeast,Peoplestown,Fulton County,30315,6,3,1,10,9,11,13,11,3,31,10,4,2010,1
AUTO THEFT,103040966,165 MARION PL NE,609,Edgewood,O,33.75795,-84.34501,house_number,Marion Place Northeast,Edgewood,DeKalb County,30307,6,1,1,11,10,12,14,12,3,31,10,4,2010,1
BURGLARY-RESIDENCE,103040973,149 26TH ST NW,207,Brookwood,E,33.80253,-84.39776,house_number,Golden Gate Drive Northwest,Brookwood,Fulton County,30309,2,7,1,12,11,13,15,13,6,31,10,4,2010,1
LARCENY-NON VEHICLE,103041004,36 HARRIS ST NW,508,Downtown,M,33.76089,-84.38855,building,John Portman Boulevard Northwest,Hotel District,Fulton County,30313,5,3,1,5,3,5,16,9,4,31,10,4,2010,1
LARCENY-FROM VEHICLE,103041024,TRENHOLM ST SW / PETERS ST SW,507,Castleberry Hill,M,33.7456,-84.40378,house_number,Peters Street Southwest,Castleberry Hill,Fulton County,30313,5,2,1,13,3,14,17,14,4,31,10,4,2010,1
