BEATid,BEAT
1,401
2,301
3,604
4,410
5,509
6,602
7,109
8,211
9,508
10,303
11,605
12,609
13,207
14,507
15,101
16,305
17,409
18,611
19,404
20,111
21,210
22,108
23,106
24,612
25,511
26,505
27,503
28,110
29,204
30,510
31,206
32,601
33,302
34,307
35,402
36,304
37,102
54,610
53,113
63,107
39,103
52,112
42,306
38,114
40,512
41,205
43,502
44,310
45,504
46,408
47,104
48,501
49,312
50,607
51,606
55,313
56,506
57,407
58,311
59,405
60,212
61,603
62,308
64,608
65,309
66,406
67,403
68,202
69,201
70,413
71,208
