dateid,day,month,quarter,year
1,31,10,4,2010
24,8,10,4,2010
33,30,10,4,2011
48,15,10,4,2011
49,14,10,4,2011
60,3,10,4,2011
72,22,10,4,2012
76,18,10,4,2012
79,15,10,4,2012
81,13,10,4,2012
89,5,10,4,2012
98,27,10,4,2013
103,22,10,4,2013
105,20,10,4,2013
113,12,10,4,2013
117,8,10,4,2013
147,9,10,4,2014
148,8,10,4,2014
162,25,10,4,2015
187,31,10,4,2016
190,28,10,4,2016
193,25,10,4,2016
200,18,10,4,2016
215,3,10,4,2016
216,2,10,4,2016
221,28,10,4,2009
223,26,10,4,2009
226,23,10,4,2009
227,22,10,4,2009
235,14,10,4,2009
236,13,10,4,2009
255,25,1,1,2010
258,22,1,1,2010
271,9,1,1,2010
2,30,10,4,2010
3,29,10,4,2010
4,28,10,4,2010
5,27,10,4,2010
6,26,10,4,2010
7,25,10,4,2010
8,24,10,4,2010
9,23,10,4,2010
10,22,10,4,2010
11,21,10,4,2010
12,20,10,4,2010
13,19,10,4,2010
14,18,10,4,2010
15,17,10,4,2010
16,16,10,4,2010
17,15,10,4,2010
18,14,10,4,2010
19,13,10,4,2010
20,12,10,4,2010
21,11,10,4,2010
22,10,10,4,2010
23,9,10,4,2010
25,7,10,4,2010
26,6,10,4,2010
27,5,10,4,2010
28,4,10,4,2010
29,3,10,4,2010
30,2,10,4,2010
31,1,10,4,2010
32,31,10,4,2011
34,29,10,4,2011
35,28,10,4,2011
36,27,10,4,2011
37,26,10,4,2011
38,25,10,4,2011
39,24,10,4,2011
40,23,10,4,2011
41,22,10,4,2011
42,21,10,4,2011
43,20,10,4,2011
44,19,10,4,2011
45,18,10,4,2011
46,17,10,4,2011
47,16,10,4,2011
50,13,10,4,2011
51,12,10,4,2011
52,11,10,4,2011
53,10,10,4,2011
54,9,10,4,2011
55,8,10,4,2011
56,7,10,4,2011
57,6,10,4,2011
58,5,10,4,2011
59,4,10,4,2011
61,2,10,4,2011
62,1,10,4,2011
63,31,10,4,2012
64,30,10,4,2012
65,29,10,4,2012
66,28,10,4,2012
67,27,10,4,2012
68,26,10,4,2012
69,25,10,4,2012
70,24,10,4,2012
71,23,10,4,2012
73,21,10,4,2012
74,20,10,4,2012
75,19,10,4,2012
77,17,10,4,2012
78,16,10,4,2012
80,14,10,4,2012
82,12,10,4,2012
83,11,10,4,2012
84,10,10,4,2012
85,9,10,4,2012
86,8,10,4,2012
87,7,10,4,2012
88,6,10,4,2012
90,4,10,4,2012
91,3,10,4,2012
92,2,10,4,2012
93,1,10,4,2012
94,31,10,4,2013
95,30,10,4,2013
96,29,10,4,2013
97,28,10,4,2013
99,26,10,4,2013
100,25,10,4,2013
101,24,10,4,2013
102,23,10,4,2013
104,21,10,4,2013
106,19,10,4,2013
107,18,10,4,2013
108,17,10,4,2013
109,16,10,4,2013
110,15,10,4,2013
111,14,10,4,2013
112,13,10,4,2013
114,11,10,4,2013
115,10,10,4,2013
116,9,10,4,2013
118,7,10,4,2013
119,6,10,4,2013
120,5,10,4,2013
121,4,10,4,2013
122,3,10,4,2013
123,2,10,4,2013
124,1,10,4,2013
125,31,10,4,2014
126,30,10,4,2014
127,29,10,4,2014
128,28,10,4,2014
129,27,10,4,2014
130,26,10,4,2014
131,25,10,4,2014
132,24,10,4,2014
133,23,10,4,2014
134,22,10,4,2014
135,21,10,4,2014
136,20,10,4,2014
137,19,10,4,2014
138,18,10,4,2014
139,17,10,4,2014
140,16,10,4,2014
141,15,10,4,2014
142,14,10,4,2014
143,13,10,4,2014
144,12,10,4,2014
145,11,10,4,2014
146,10,10,4,2014
149,7,10,4,2014
150,6,10,4,2014
151,5,10,4,2014
152,4,10,4,2014
153,3,10,4,2014
154,2,10,4,2014
155,1,10,4,2014
156,31,10,4,2015
157,30,10,4,2015
158,29,10,4,2015
159,28,10,4,2015
160,27,10,4,2015
161,26,10,4,2015
163,24,10,4,2015
164,23,10,4,2015
165,22,10,4,2015
166,21,10,4,2015
167,20,10,4,2015
168,19,10,4,2015
169,18,10,4,2015
170,17,10,4,2015
171,16,10,4,2015
172,15,10,4,2015
173,14,10,4,2015
174,13,10,4,2015
175,12,10,4,2015
176,11,10,4,2015
177,10,10,4,2015
178,9,10,4,2015
179,8,10,4,2015
180,7,10,4,2015
181,6,10,4,2015
182,5,10,4,2015
183,4,10,4,2015
184,3,10,4,2015
185,2,10,4,2015
186,1,10,4,2015
188,30,10,4,2016
189,29,10,4,2016
191,27,10,4,2016
192,26,10,4,2016
194,24,10,4,2016
195,23,10,4,2016
196,22,10,4,2016
197,21,10,4,2016
198,20,10,4,2016
199,19,10,4,2016
201,17,10,4,2016
202,16,10,4,2016
203,15,10,4,2016
204,14,10,4,2016
205,13,10,4,2016
206,12,10,4,2016
207,11,10,4,2016
208,10,10,4,2016
209,9,10,4,2016
210,8,10,4,2016
