locationid,location,neighborhoodid,npuid,lat,long,road,neighbourhood_lookupid,postcode,county
1,850 OAK ST SW,1,1,33.74057,-84.4168,Oak Street Southwest,1,30310,Fulton County
2,1344 METROPOLITAN PKWY SW,2,2,33.71803,-84.40774,Metropolitan Parkway Southwest,2,30310,Fulton County
3,JOHN WESLEY DOBBS AVE NE / CORLEY ST NE,3,3,33.75947,-84.36626,John Wesley Dobbs Avenue Northeast,3,30312,Fulton County
4,MYRTLE DR @ PLAZA LN,4,4,33.70537,-84.45498,Myrtle Drive Southwest,4,30311,Fulton County
5,1980 DELOWE DR SW,4,4,33.70121,-84.45724,Delowe Drive Southwest,4,30311,Fulton County
6,229 PEACHTREE ST NE,5,3,33.7604,-84.38746,Peachtree Street Northeast,5,30303,Fulton County
7,1083 EUCLID AVE NE,6,5,33.76309,-84.3516,Euclid Avenue Northeast,6,30307,Fulton County
8,2315 DONALD LEE HOLLOWELL BLVD NW ,7,6,33.77725,-84.46072,Donald Lee Hollowell Parkway Northwest,7,30318,Fulton County
9,800 SIDNEY MARCUS BLVD NE,8,7,33.82674,-84.36131,Sidney Marcus Boulevard Northeast,8,30324,Fulton County
10,210 PEACHTREE ST,5,3,33.75946,-84.38769,Ted Turner Drive Northwest,9,30303,Fulton County
11,202 RICHARDSON ST SW ,9,8,33.74075,-84.39454,Pryor Street Southwest,10,30312,Fulton County
12,2591 PIEDMONT RD NE,8,7,33.82543,-84.36706,Piedmont Road Northeast,8,30305,Fulton County
13,678 HILL ST SE,10,9,33.73611,-84.37812,Hill Street Southeast,11,30315,Fulton County
14,165 MARION PL NE,11,10,33.75795,-84.34501,Marion Place Northeast,12,30307,DeKalb County
15,149 26TH ST NW,12,11,33.80253,-84.39776,Golden Gate Drive Northwest,13,30309,Fulton County
16,36 HARRIS ST NW,5,3,33.76089,-84.38855,John Portman Boulevard Northwest,5,30313,Fulton County
17,TRENHOLM ST SW / PETERS ST SW,13,3,33.7456,-84.40378,Peters Street Southwest,14,30313,Fulton County
18,600 GREENSFERRY AVE SW,14,1,33.74662,-84.40755,Greensferry Avenue Southwest,15,30314,Fulton County
19,1306 HILL ST SE,15,12,33.71875,-84.37852,Hill Street Southeast,16,30315,Fulton County
20,2011 VENETIAN DR SW,16,4,33.71509,-84.4543,Venetian Drive Southwest,4,30311,Fulton County
21,292 MORGAN PLACE S.E.,17,10,33.74446,-84.29171,Morgan Place Southeast,17,30317,DeKalb County
22,701 KENNOLIA DR SW,18,13,33.73611,-84.44924,Kennolia Drive Southwest,18,30310,Fulton County
23,2777 BURTON RD NW,19,13,33.75615,-84.47873,Burton Road Northwest,19,30311,Fulton County
24,2700 PINE TREE DR NE,20,7,33.82606,-84.35908,Arbor Gates Drive,20,30324,Fulton County
25,2086 CARVER DR,21,6,33.75973,-84.46253,Carver Drive Northwest,21,30314,Fulton County
26,659 LARKIN ST SW,22,1,33.74826,-84.40905,Larkin Street Southwest,15,30314,Fulton County
27,556 CAIRO ST NW,23,14,33.76982,-84.41967,Cairo Street Northwest,22,30314,Fulton County
28,564 GRESHAM AVE SE,24,9,33.73892,-84.34559,Gresham Avenue Southeast,23,30316,DeKalb County
29,424 FLAT SHOALS AVE SE,24,9,33.74249,-84.34745,Flat Shoals Avenue Southeast,23,30316,DeKalb County
30,COURTLAND ST NE / HARRIS ST NE,5,3,33.76094,-84.38418,John Portman Boulevard Northeast,5,30303,Fulton County
31,FORSYTH ST NW / MARIETTA ST NW,5,3,33.75543,-84.39104,Forsyth Street Northwest,9,30303,Fulton County
32,7TH ST NE / JUNIPER ST NE,25,11,33.77843,-84.38274,7th Street Northeast,24,30309,Fulton County
33,JUNIPER ST NE / 10TH ST NE,25,11,33.78175,-84.3825,Juniper Street Northeast,24,30309,Fulton County
34,836 MITCHELL ST SW,22,1,33.75327,-84.41491,Mitchell Street Southwest,15,30314,Fulton County
35,259 RICHARDSON ST SW,9,8,33.74083,-84.39654,Richardson Street Southwest,10,30312,Fulton County
36,1123 JONES AVE,26,6,33.78545,-84.45178,Jones Avenue Northwest,25,30318,Fulton County
37,15 PEACHTREE ST SE,5,3,33.75399,-84.38986,Pryor Street Southwest,9,30303,Fulton County
38,303 PARKWAY DR NE,3,3,33.76286,-84.37405,Parkway Drive Northeast,26,30312,Fulton County
39,50 ALABAMA ST SW,5,3,33.75194,-84.38964,Kimball Way Southeast,9,30303,Fulton County
40,895 RALPH D ABERNATHY BLVD SW,1,1,33.7398,-84.41751,Skylofts Atlanta,1,30310,Fulton County
41,1801 HOWELL MILL RD NW,27,15,33.80388,-84.41278,Howell Mill Road Northwest,27,30363,Fulton County
42,260 HOLLY RD NW,28,14,33.78633,-84.42786,West Marietta Street Northwest,28,30318,Fulton County
43,PRATT ST SE / ARMSTRONG ST SE,5,3,33.75187,-84.38083,Pratt Street Southeast,26,30303,Fulton County
44,2715 PEACHTREE RD NE,29,7,33.82924,-84.38579,Peachtree Road Northeast,29,30305,Fulton County
45,1117 SAINT CHARLES PL NE,30,16,33.77518,-84.35081,Saint Charles Place Northeast,30,30306,Fulton County
46,480 JOHN WESLEY DOBBS AVE NE,3,3,33.75961,-84.37127,John Wesley Dobbs Avenue Northeast,26,30312,Fulton County
47,765 MCDANIEL ST SW,31,8,33.73396,-84.40177,McDaniel Street Southwest,31,30310,Fulton County
48,2178 CAMPBELLTON RD SW,4,4,33.70514,-84.45947,Campbellton Road Southwest,4,30311,Fulton County
49,1655 ROGERS AVE SW,32,1,33.73751,-84.44186,Rogers Avenue Southwest,18,30310,Fulton County
50,608 MCDANIEL STREET,9,8,33.73849,-84.40166,McDaniel Street Southwest,10,30312,Fulton County
51,829 BECKWITH ST SW,22,1,33.75233,-84.41473,Beckwith Street Southwest,15,30314,Fulton County
52,208 ADAIR AVE SE,33,12,33.7064,-84.38124,Adair Avenue Southeast,32,30315,Fulton County
53,590 CASADE,1,1,33.73812,-84.43276,Oglethorpe Avenue Southwest,18,30310,Fulton County
54,1801 HOWELL MILL RD NW,27,15,33.80448,-84.41348,Howell Mill Road Northwest,27,30318,Fulton County
55,1048 FERN AVE SE,34,8,33.72592,-84.38498,Fern Avenue Southeast,11,30315,Fulton County
56,912 JOSEPH E BOONE DR NW,35,17,33.76326,-84.41711,Joseph E. Boone Boulevard Northwest,22,30314,Fulton County
57,499 FEDERAL TER SE,15,12,33.71465,-84.37172,Federal Terrace Southeast,16,30315,Fulton County
58,1045 DONALD LEE HOLLOWELL PKWY NW,23,14,33.7733,-84.42174,Donald Lee Hollowell Parkway Northwest,33,30318,Fulton County
59,1025 OAK ST SW,1,1,33.74094,-84.42141,Oak Street Southwest,1,30310,Fulton County
1203,2070 RIDGEDALE RD NE,61,10,33.7534,-84.31982,Ridgedale Road Northeast,54,30317,DeKalb County
1204,393 RAWSON ST SW,9,8,33.74307,-84.4011,Rawson Street Southwest,10,30312,Fulton County
452,2591 ETHERIDGE DR NW,75,22,33.7881,-84.47292,Etheridge Drive Northwest,40,30318,Fulton County
1570,226 SAMPSON ST NE,3,3,33.76031,-84.36575,Sampson Street Northeast,3,30312,Fulton County
2174,1845 LAKEWOOD TER SE,33,12,33.70381,-84.37988,Lakewood Terrace Southeast,32,30315,Fulton County
2175,842 MARTIN L KING JR DR SW,22,1,33.75461,-84.4155,Martin Luther King Jr Drive Southwest,46,30314,Fulton County
2176,1980 DONALD LEE HOLLOWELL NW,26,6,33.77593,-84.44938,Donald Lee Hollowell Parkway Northwest,43,30318,Fulton County
431,1033 HOLLYWOOD RD NW,47,22,33.78308,-84.45882,Hollywood Road Northwest,43,30318,Fulton County
3030,1572 DONALD LE HOLLOWELL PKWY NW,26,6,33.77139,-84.44004,Donald Lee Hollowell Parkway Northwest,43,30318,Fulton County
3121,1992 CASCADE RD SW,16,4,33.72072,-84.4538,Cascade Road,18,30311,Fulton County
3175,934 AVON AVE.,89,2,33.72211,-84.41766,Avon Avenue Southwest,2,30310,Fulton County
3287,429 COOPER ST SW,9,8,33.7431,-84.39721,Cooper Street Southwest,10,30312,Fulton County
3560,MORELAND AVE NE @ PONCE DE LEON AVE NE,113,16,33.77384,-84.34898,Ponce de Leon Avenue Northeast,30,30306,Fulton County
3825,1511 OLYMPIAN WAY SW,32,1,33.73568,-84.43705,Olympian Way Southwest,18,30310,Fulton County
3964,99 SPRING ST SW,13,3,33.75204,-84.39628,Ted Turner Drive Southwest,14,30303,Fulton County
4018,1941 MYRTLE DR SW,4,4,33.70313,-84.45511,Myrtle Drive Southwest,4,30311,Fulton County
1514,1717 CENTRA VILLA DR SW,16,4,33.70928,-84.45571,Centra Villa Drive Southwest,4,30311,Fulton County
4355,885 FLAT SHOALS AVE SE,24,9,33.73082,-84.33684,Flat Shoals Avenue Southeast,35,30316,DeKalb County
920,500 JAMES P BRAWLEY DR NW,37,17,33.76834,-84.41278,James P Brawley Drive Northwest,22,30318,Fulton County
253,1029 MCDANIEL ST SW,31,8,33.72678,-84.4018,McDaniel Street Southwest,31,30310,Fulton County
5592,510 MARY ST SW,31,8,33.72918,-84.40468,Mary Street Southwest,31,30310,Fulton County
6176,1205 METROPOLITAN AVE SE,24,9,33.74173,-84.34749,Metropolitan Avenue Southeast,23,30316,DeKalb County
6270,1891 MARKONE ST NW,26,6,33.77,-84.44895,Markone Street Northwest,43,30318,Fulton County
5435,1058 RIDGE AVE SW,34,8,33.7262,-84.39163,Ridge Avenue Southwest,11,30315,Fulton County
6476,200 HARWELL PL NW,57,13,33.78071,-84.4944,Harwell Place Northwest,59,30318,Fulton County
3505,1080 PEACHTREE ST NE,25,11,33.78409,-84.38353,Peachtree Street Northeast,24,30309,Fulton County
1656,490 WHITEHALL ST SW,13,3,33.74348,-84.40341,Whitehall Street Southwest,14,30303,Fulton County
5487,44 PRYOR ST SE,5,3,33.75332,-84.38931,Kimball Way Southeast,9,30303,Fulton County
7007,ROCKWELL ST SW @ WELCH ST SW,31,8,33.73192,-84.40473,Rockwell Street Southwest,31,30310,Fulton County
7120,1680 CAHOON ST SW,39,2,33.70911,-84.41285,Lisbon Drive Southwest,38,30310,Fulton County
2284,1518 JONESBORO RD SE,48,12,33.71288,-84.38223,Jonesboro Road Southeast,32,30315,Fulton County
7341,1174 HUBBARD ST SW,31,8,33.7229,-84.40228,Hubbard Street Southwest,31,30310,Fulton County
7342,846 DRUMMOND ST SW,22,1,33.75265,-84.41527,Drummond Street Southwest,15,30314,Fulton County
6835,1303 RALPH D ABERNATHY BLVD SW,1,1,33.73928,-84.43018,Ralph David Abernathy Boulevard,1,30310,Fulton County
7837,449 ATWOOD ST SW,1,1,33.74289,-84.42906,Atwood Street Southwest,1,30310,Fulton County
7899,156 DAHLIA ST NW,21,6,33.75842,-84.4624,Dahlia Avenue Northwest,21,30314,Fulton County
8161,1525 GLENWOOD AVE SE,24,9,33.73978,-84.33768,Pasley Avenue Southeast,35,30316,DeKalb County
60,80 JESSE HILL JR DR SE,5,3,33.75168,-84.38198,Downtown Connector,26,30312,Fulton County
61,3380 COLLIER DR NW,36,18,33.76826,-84.49851,Collier Drive Northwest,34,30331,Fulton County
62,370 NORTHSIDE DR NW,37,17,33.76527,-84.40498,Western Avenue Northwest,22,30314,Fulton County
63,1351 ORMEWOOD AVE SE,24,9,33.73384,-84.34341,Ormewood Avenue Southeast,35,30316,DeKalb County
64,122 MLK JR DR SW,5,3,33.75177,-84.39182,Pryor Street,9,30303,Fulton County
65,300 PEACHTREE ST NE,5,3,33.76293,-84.38714,Peachtree Street Northeast,5,30308,Fulton County
66,2 13TH ST NE,25,11,33.7858,-84.38757,West Peachtree Street Northwest,24,30309,Fulton County
67,23 LARKIN PL SW,13,3,33.74749,-84.40414,Bettys Alley,14,30313,Fulton County
68,2886 MEMORIAL DR SE,17,10,33.74741,-84.29245,Memorial Drive Southeast,36,30317,DeKalb County
69,BAKER ST NE / PEACHTREE ST NW,5,3,33.76226,-84.38755,Baker Street Northwest,5,30313,Fulton County
70,765 SPRINGLAKE LN NW,38,19,33.81108,-84.41356,Springlake Lane,37,30318,Fulton County
71,1759 CAHOON ST SW,39,2,33.70799,-84.41137,Cahoon Street Southwest,38,30310,Fulton County
72,412 MORELAND AVE NE,6,5,33.76582,-84.34917,Moreland Avenue Northeast,6,30306,Fulton County
73,1073 PIEDMONT AVE NE @PIEDMONT PARK,25,11,33.78384,-84.37897,Piedmont Avenue Northeast,24,30305,Fulton County
74,2403 SUNRIDGE AVE SE,40,20,33.68863,-84.38307,Sunridge Avenue Southeast,39,30315,Fulton County
75,898 CAPITOL VIEW AVE NW,7,6,33.77952,-84.46747,Capitol View Avenue Northwest,40,30318,Fulton County
76,36 HARRIS ST,5,3,33.76097,-84.38604,Peachtree Center Avenue Northeast,5,30303,Fulton County
77,3616 BOLFAIR DR NW,41,18,33.77721,-84.50587,Bolfair Drive Northwest,34,30331,Fulton County
78,2525 PIEDMONT RD,8,7,33.824,-84.36521,Morosgo Drive Northeast,8,30324,Fulton County
79,864 HALL ST NW,7,6,33.77859,-84.46616,Hall Street Northwest,40,30318,Fulton County
80,199 11TH ST NE,25,11,33.78291,-84.3807,11th Street Northeast,24,30309,Fulton County
81,232 FORSYTH ST SW,5,3,33.74852,-84.39636,Forsyth Street Southwest,41,30303,Fulton County
82,BROAD ST NW / MARIETTA ST NW,5,3,33.75492,-84.39054,Broad Street Northwest,9,30303,Fulton County
