neighborhoodid,neighborhood
1,West End
2,Capitol View Manor
3,Old Fourth Ward
4,Campbellton Road
5,Downtown
6,Inman Park
7,Center Hill
8,Lindbergh/Morosgo
9,Mechanicsville
10,Grant Park
11,Edgewood
12,Brookwood
13,Castleberry Hill
14,The Villages at Castleberry H
15,Chosewood Park
16,Adams Park
17,East Lake
18,Westwood Terrace
19,Westhaven
20,Pine Hills
21,Dixie Hills
22,Atlanta University Center
23,Bankhead
24,East Atlanta
25,Midtown
26,Grove Park
27,Berkeley Park
28,Knight Park/Howell Station
29,Garden Hills
30,Atkins Park
31,Pittsburgh
32,Westview
33,Lakewood Heights
34,Peoplestown
35,Vine City
61,Kirkwood
75,Carey Park
47,Almond Park
89,Capitol View
113,Druid Hills
37,English Avenue
57,Collier Heights
39,Sylvan Hills
48,South Atlanta
36,Fairburn Heights
38,Springlake
40,Browns Mill Park
41,Carroll Heights
42,Marietta Street Artery
43,Venetian Hills
44,Ashview Heights
45,Old Gordon
46,Home Park
49,Sweet Auburn
50,Atlantic Station
51,Glenrose Heights
52,Mozley Park
53,Adair Park
54,Woodland Hills
55,Cabbagetown
56,Summerhill
58,Lakewood
59,Reynoldstown
60,Ormewood Park
62,Swallow Circle/Baywood
63,South River Gardens
64,Poncey-Highland
65,West Lake
66,Rosedale Heights
67,Adamsville
68,Hammond Park
69,Virginia Highland
70,Harland Terrace
71,Piedmont Heights
72,Orchard Knob
73,Perkerson
74,Rebel Valley Forest
76,Lindridge/Martin Manor
77,Ansley Park
78,Bolton
79,The Villages at East Lake
80,Blair Villa/Poole Creek
81,Harris Chiles
82,Candler Park
83,Southwest
84,Bolton Hills
85,Underwood Hills
86,Penelope Neighbors
87,Morningside/Lenox Park
88,Brookview Heights
90,Norwood Manor
91,Cascade Avenue/Road
92,Ardmore
93,West Highlands
94,Brookwood Hills
95,Rockdale
96,Chastain Park
97,Monroe Heights
98,Leila Valley
99,Oakland City
100,Capitol Gateway
101,Collier Hills
102,Lake Claire
103,Cascade Heights
104,Cross Creek
105,Colonial Homes
106,Channing Valley
107,Peachtree Hills
108,Scotts Crossing
109,Pomona Park
110,Oakland
111,Hanover West
112,Wildwood (NPU-C)
114,Lenox
115,Loring Heights
116,Beecher Hills
117,Baker Hills
118,Ridgewood Heights
119,Wisteria Gardens
120,Washington Park
121,Audobon Forest
122,Carver Hills
123,Florida Heights
124,Margaret Mitchell
125,Paces
126,Collier Hills North
127,Peyton Forest
128,Westover Plantation
129,Georgia Tech
130,Green Forest Acres
131,Blandtown
132,Harvel Homes Community
133,Boulevard Heights
134,West Manor
135,Fort McPherson
136,Mt. Paran/Northside
137,Sherwood Forest
138,Wesley Battle
139,Ivan Hill
140,East Chastain Park
141,Lincoln Homes
142,Chattahoochee
