neighbourhood_lookupid,neighbourhood_lookup
1,West End
2,Capitol View
3,Inman Park
4,Adams Park
5,Hotel District
6,Little Five Points
7,Center Hill
8,Lindbergh
9,Five Points
10,Mechanicsville
11,Peoplestown
12,Edgewood
13,Brookwood
14,Castleberry Hill
15,Atlanta University Center
16,Roseland
17,Glenwood Hills
18,Westview
19,Stratford
20,The Hill
21,Dixie Hills
22,English Ave.
23,East Atlanta Village
24,Midtown
25,West Highland
26,Sweet Auburn
27,Woodward
28,Rockdale
29,Brookwood Hills
30,Linwood
31,Pittsburgh
32,Lakewood Heights
33,Bellwood
54,Kirkwood
40,Carey Park
46,Vine City
43,Grove Park
35,Brownwood
59,Collier Heights
38,Sylvan Hills
34,Fairburn Heights
36,East Lake Highlands
37,Ellsworth Park
39,Browns Mill
41,South Downtown
42,Normandy Forest
44,Home Park
45,Forrest Park
47,Atlantic Station
48,Ansley Park
49,Orchard Knob
50,Hammond Park
51,Battle Hill Haven
52,Ormewood
53,Reynoldstown
55,Doral Park
56,Capitol Gateway
57,Cornell
58,Howell Station
60,Rosedale Heights
61,Mayfair
62,Virginia Highland
63,Cascade Heights
64,Joel Chandler Harris Homes
65,Woodland Hills
66,Westover Plantation
67,Cabbagetown
68,Georgia State
69,Villa Park
70,Gilbert Gardens
71,Eastland Heights
72,East Lake
73,Chattahoochee
74,Carroll Heights
75,Glenwood Park
76,Candler Park
77,East Conway Hill
78,Summerhill
79,Madison Yards
80,Lake Claire
81,Plunket Town
82,Riverside
83,Rivermeade
84,Millbrook
85,Ridgewood Heights
86,Oakhurst
87,Misty Ridge
