number,locationid,BEATid,ZONEid,dateid,crimeid_x,count_crime_type
103040061,1,1,1,1,1,1
103040169,2,2,2,1,2,1
103040301,3,3,3,1,3,1
103040345,4,4,1,1,4,1
103040385,5,4,1,1,3,1
103040412,6,5,4,1,2,1
103040443,7,6,3,1,5,1
103040472,8,7,5,1,5,1
103040504,9,8,6,1,2,1
103040611,10,9,4,1,6,1
103040890,11,10,2,1,1,1
103040928,12,8,6,1,2,1
103040964,13,11,3,1,3,1
103040966,14,12,3,1,1,1
103040973,15,13,6,1,7,1
103041004,16,9,4,1,3,1
103041024,17,14,4,1,2,1
103041130,18,15,5,1,7,1
103041136,19,16,2,1,1,1
103041181,20,17,1,1,2,1
103041224,21,18,3,1,7,1
103041231,22,19,1,1,2,1
103041236,23,20,5,1,8,1
103041263,24,21,6,1,3,1
103041308,25,22,5,1,2,1
103041311,26,15,5,1,2,1
103041320,27,23,5,1,7,1
103041333,28,24,3,1,1,1
103041390,29,24,3,1,3,1
103041424,30,5,4,1,2,1
103041455,31,25,4,1,3,1
103041546,32,26,4,1,2,1
103041561,33,27,4,1,2,1
103041587,34,15,5,1,2,1
103041588,35,10,2,1,1,1
103041647,36,28,5,1,5,1
103041669,37,25,4,1,2,1
103041670,38,3,3,1,1,1
103041700,39,25,4,1,3,1
103041703,40,1,1,1,2,1
103041704,41,29,6,1,3,1
103041722,42,23,5,1,1,1
103041750,41,29,6,1,3,1
103041776,43,30,4,1,2,1
103041794,44,31,6,1,1,1
103041832,45,32,3,1,2,1
103041860,46,3,3,1,2,1
103041864,47,33,2,1,7,1
103041887,48,4,1,1,3,1
103041966,49,19,1,1,5,1
103041975,50,10,2,1,5,1
103042095,51,15,5,1,2,1
103042108,52,34,2,1,7,1
103042132,53,35,1,1,3,1
103042152,54,29,6,1,2,1
103042163,55,36,2,1,5,1
-2147483648,56,37,5,1,9,41
-2147483648,57,16,2,1,9,41
-2147483648,58,23,5,1,9,41
-2147483648,59,1,1,1,9,41
-2147483648,1203,54,3,24,9,41
-2147483648,1204,10,2,24,9,41
-2147483648,452,53,5,24,9,41
-2147483648,1570,3,3,33,9,41
-2147483648,2174,34,2,48,9,41
-2147483648,2175,15,5,48,9,41
-2147483648,2176,63,5,49,9,41
-2147483648,431,28,5,60,9,41
-2147483648,3030,63,5,72,9,41
-2147483648,3121,17,1,76,9,41
-2147483648,3175,2,2,79,9,41
-2147483648,3287,10,2,81,9,41
-2147483648,3560,32,3,89,9,41
-2147483648,3825,19,1,98,9,41
-2147483648,3964,14,4,103,9,41
-2147483648,4018,4,1,105,9,41
-2147483648,1514,17,1,113,9,41
-2147483648,4355,24,3,117,9,41
-2147483648,920,39,5,147,9,41
-2147483648,253,33,2,148,9,41
-2147483648,5592,33,2,162,9,41
-2147483648,6176,24,3,187,9,41
-2147483648,6270,63,5,190,9,41
-2147483648,5435,36,2,193,9,41
-2147483648,6476,52,5,200,9,41
-2147483648,3505,27,4,215,9,41
-2147483648,1656,14,4,216,9,41
-2147483648,5487,5,4,221,9,41
-2147483648,7007,33,2,223,9,41
-2147483648,7120,42,2,226,9,41
-2147483648,2284,16,2,227,9,41
-2147483648,7341,10,2,235,9,41
-2147483648,7342,15,5,235,9,41
-2147483648,6835,1,1,236,9,41
-2147483648,7837,1,1,255,9,41
-2147483648,7899,22,5,258,9,41
-2147483648,8161,24,3,271,9,41
103032507,60,30,4,2,3,1
103032617,61,38,5,2,5,1
103031107,62,39,5,2,2,1
103031141,63,24,3,2,2,1
103031163,64,40,4,2,2,1
103031169,65,9,4,2,7,1
103031236,66,27,4,2,1,1
103031257,67,14,4,2,2,1
103031315,68,18,3,2,1,1
103031385,69,9,4,2,2,1
103031508,70,41,6,2,4,1
103031540,43,30,4,2,2,1
103031563,71,42,2,2,7,1
103031573,72,6,3,2,3,1
103031590,73,43,4,2,3,1
103031646,74,44,2,2,7,1
103031746,75,7,5,2,7,1
103031804,76,5,4,2,2,1
103031922,77,38,5,2,3,1
103032002,78,8,6,2,2,1
103032013,79,7,5,2,4,1
103032044,80,27,4,2,3,1
103032241,81,40,4,2,1,1
103032340,82,9,4,2,2,1
103030033,83,45,4,2,2,1
103030182,84,45,4,2,2,1
103030304,85,27,4,2,5,1
103030360,86,33,2,2,5,1
103030387,87,46,1,2,10,1
103030473,88,47,5,2,7,1
103030594,89,43,4,2,2,1
103030616,90,38,5,2,1,1
103030631,91,28,5,2,2,1
103030698,92,48,4,2,1,1
103030733,93,34,2,2,7,1
103030772,94,28,5,2,5,1
103030778,95,24,3,2,2,1
103030847,96,16,2,2,1,1
103030855,97,42,2,2,1,1
103030860,98,3,3,2,2,1
103030916,30,5,4,2,2,1
103030917,99,13,6,2,1,1
103030941,100,39,5,2,2,1
103031052,101,33,2,2,2,1
103031064,102,9,4,2,2,1
103031082,103,48,4,2,3,1
103022782,104,43,4,2,2,1
103012699,105,41,6,3,7,1
103020069,106,39,5,3,5,1
103020373,107,36,2,3,1,1
103020506,108,49,2,3,1,1
103020531,109,44,2,3,1,1
103020551,110,47,5,3,1,1
103020638,100,39,5,3,2,1
103020723,111,43,4,3,2,1
103020741,112,26,4,3,2,1
103020832,113,2,2,3,2,1
103020845,114,24,3,3,1,1
103020846,115,50,3,3,1,1
103020888,53,35,1,3,3,1
103020985,116,22,5,3,7,1
103021027,117,51,3,3,2,1
103021037,118,27,4,3,2,1
103021067,119,36,2,3,2,1
103021204,120,39,5,3,1,1
103021256,121,33,2,3,1,1
103021265,122,36,2,3,3,1
103021275,123,21,6,3,3,1
103021281,124,52,5,3,7,1
103021289,125,25,4,3,2,1
103021335,126,53,5,3,2,1
103021347,127,44,2,3,7,1
103021411,128,51,3,3,7,1
103021445,129,35,1,3,2,1
103021455,130,8,6,3,3,1
103021457,41,29,6,3,3,1
103021478,131,50,3,3,2,1
103021503,132,54,3,3,7,1
103021526,133,44,2,3,3,1
103021556,134,30,4,3,2,1
103021573,135,25,4,3,2,1
103021612,136,40,4,3,3,1
103021651,137,46,1,3,2,1
103021741,138,2,2,3,7,1
103021832,139,25,4,3,3,1
103021861,140,40,4,3,4,1
103021886,141,48,4,3,4,1
103021891,142,6,3,3,11,1
103021918,143,55,2,3,1,1
103021969,89,43,4,3,2,1
103022029,144,28,5,3,3,1
103022071,145,11,3,3,7,1
103022075,1,1,1,3,3,1
103022127,146,6,3,3,3,1
103022176,15,13,6,3,3,1
103022218,147,12,3,3,3,1
103022318,148,22,5,3,1,1
103022389,39,25,4,3,4,1
103022426,149,40,4,3,2,1
103022445,150,36,2,3,5,1
103022457,151,44,2,3,5,1
103022665,152,45,4,3,2,1
103022702,153,47,5,3,2,1
102970294,154,40,4,3,5,1
103010902,155,10,2,4,7,1
103010920,156,52,5,4,7,1
103010944,157,6,3,4,2,1
103010953,158,22,5,4,7,1
103010964,159,39,5,4,3,1
103010984,160,56,4,4,7,1
103011049,161,44,2,4,5,1
103011051,162,49,2,4,3,1
103011054,123,21,6,4,1,1
103011066,163,19,1,4,7,1
103011084,164,14,4,4,3,1
103011162,165,6,3,4,2,1
103011169,166,25,4,4,2,1
103011170,167,57,1,4,1,1
103011191,168,42,2,4,7,1
103011225,169,36,2,4,4,1
103011256,170,51,3,4,2,1
103011321,171,12,3,4,1,1
103011333,172,58,2,4,2,1
103011362,173,33,2,4,7,1
103011385,174,42,2,4,3,1
103011443,175,32,3,4,5,1
103011509,142,6,3,4,3,1
103011526,176,42,2,4,2,1
103011534,18,15,5,4,3,1
103011608,147,12,3,4,3,1
103011711,177,30,4,4,2,1
103011739,178,59,1,4,3,1
103011742,179,47,5,4,7,1
103011775,180,30,4,4,2,1
103011801,181,60,6,4,2,1
103011819,182,45,4,4,2,1
103011904,183,48,4,4,2,1
103011922,184,25,4,4,2,1
103012061,185,45,4,4,2,1
103012067,186,33,2,4,5,1
103012098,53,35,1,4,3,1
103012137,147,12,3,4,3,1
103012217,187,43,4,4,2,1
103012248,188,49,2,4,7,1
103012308,189,4,1,4,3,1
103012323,190,15,5,4,4,1
103012325,191,48,4,4,2,1
103012343,192,32,3,4,2,1
103012371,193,54,3,4,1,1
103012395,194,32,3,4,3,1
103012411,195,58,2,4,1,1
103012481,196,4,1,4,1,1
103012490,197,24,3,4,2,1
103012493,198,26,4,4,2,1
103012543,199,5,4,4,2,1
103012577,200,61,3,4,1,1
103012587,201,15,5,4,2,1
103012589,202,43,4,4,1,1
103012647,203,9,4,4,2,1
103012660,204,17,1,4,7,1
103012728,205,58,2,4,4,1
103012757,206,33,2,4,2,1
103010052,207,6,3,4,2,1
103010122,208,30,4,4,2,1
103010133,209,51,3,4,8,1
103010260,210,28,5,4,2,1
103010461,211,44,2,4,8,1
103010467,212,22,5,4,8,1
103010468,213,28,5,4,2,1
103010486,40,1,1,4,3,1
103010656,214,34,2,4,3,1
103010681,215,9,4,4,2,1
103010714,216,23,5,4,1,1
103010796,217,42,2,4,3,1
103010870,218,28,5,4,2,1
103001207,219,7,5,5,3,1
103001215,53,35,1,5,1,1
103001229,220,32,3,5,2,1
103001249,221,44,2,5,8,1
103001269,222,33,2,5,7,1
103001280,223,58,2,5,8,1
103001378,224,58,2,5,7,1
103001385,225,3,3,5,2,1
103001413,226,12,3,5,5,1
103001469,227,42,2,5,7,1
103001480,228,12,3,5,2,1
103001512,229,1,1,5,3,1
103001522,230,22,5,5,1,1
103001532,231,29,6,5,7,1
103001684,183,48,4,5,1,1
103001697,60,30,4,5,2,1
103001740,60,30,4,5,3,1
103001812,232,37,5,5,2,1
103001889,233,1,1,5,7,1
103002087,234,62,2,5,7,1
103002094,235,15,5,5,2,1
103002095,236,3,3,5,2,1
103002160,237,59,1,5,5,1
103002266,238,52,5,5,4,1
103002301,239,6,3,5,1,1
103002337,240,26,4,5,2,1
103002352,241,58,2,5,5,1
103002380,242,45,4,5,2,1
103002393,243,45,4,5,2,1
103002398,244,30,4,5,2,1
103002402,245,47,5,5,5,1
103000051,246,7,5,5,5,1
103000078,247,47,5,5,5,1
103000084,248,63,5,5,8,1
103000110,249,9,4,5,2,1
103000131,250,17,1,5,5,1
103000135,251,47,5,5,4,1
103000189,252,45,4,5,2,1
103000272,253,33,2,5,5,1
103000287,254,30,4,5,2,1
103000449,255,38,5,5,4,1
103000495,256,33,2,5,4,1
103000516,100,39,5,5,1,1
103000518,257,16,2,5,4,1
103000535,258,63,5,5,1,1
103000608,217,42,2,5,1,1
103000654,259,60,6,5,2,1
103000657,260,1,1,5,1,1
103000671,261,6,3,5,2,1
103000788,262,50,3,5,7,1
103000801,263,43,4,5,1,1
103000822,264,19,1,5,8,1
103000858,65,9,4,5,2,1
103000884,265,50,3,5,2,1
103000936,266,29,6,5,11,1
103000950,267,29,6,5,7,1
103000968,268,55,2,5,8,1
103001018,269,7,5,5,7,1
103001042,270,52,5,5,1,1
103001056,271,18,3,5,7,1
103001072,272,49,2,5,5,1
103001073,139,25,4,5,3,1
103001085,273,38,5,5,7,1
103001088,274,54,3,5,3,1
103001139,275,32,3,5,2,1
103001179,276,27,4,5,3,1
102800447,277,22,5,5,1,1
102990002,278,11,3,6,2,1
102990080,279,7,5,6,8,1
102990174,280,27,4,6,3,1
102990323,281,63,5,6,7,1
102990340,282,9,4,6,2,1
102990401,283,9,4,6,2,1
102990449,284,1,1,6,4,1
102990455,285,32,3,6,1,1
102990473,286,27,4,6,2,1
102990475,287,25,4,6,3,1
102990608,288,55,2,6,2,1
102990696,289,6,3,6,2,1
102990713,290,50,3,6,2,1
102990732,291,39,5,6,2,1
102990735,292,63,5,6,3,1
102990755,293,1,1,6,2,1
102990794,294,47,5,6,2,1
102990834,295,17,1,6,2,1
102990876,296,34,2,6,7,1
102990927,297,61,3,6,2,1
102991042,298,52,5,6,5,1
102991066,299,37,5,6,3,1
102991077,300,40,4,6,3,1
102991109,301,43,4,6,2,1
102991110,302,3,3,6,7,1
102991192,303,53,5,6,8,1
102991350,53,35,1,6,3,1
102991368,304,64,3,6,3,1
102991393,305,10,2,6,1,1
102991398,306,17,1,6,7,1
102991403,307,9,4,6,3,1
102991563,308,40,4,6,3,1
102991619,309,16,2,6,1,1
102991627,310,60,6,6,3,1
102991629,311,24,3,6,2,1
102991688,312,54,3,6,7,1
102991741,311,24,3,6,2,1
102991803,313,34,2,6,7,1
102991816,314,30,4,6,2,1
102991863,78,8,6,6,2,1
102991873,315,39,5,6,7,1
102991883,316,36,2,6,7,1
102991897,317,8,6,6,7,1
102991910,142,6,3,6,3,1
102991936,318,6,3,6,3,1
102991955,41,29,6,6,3,1
102991970,319,14,4,6,2,1
102991986,320,6,3,6,3,1
102992041,321,49,2,6,5,1
102992047,322,3,3,6,2,1
102992080,323,43,4,6,2,1
102992095,324,34,2,6,1,1
102992126,252,45,4,6,2,1
102992128,325,16,2,6,3,1
102992129,326,65,2,6,3,1
102992150,327,53,5,6,1,1
102992215,147,12,3,6,3,1
102992315,328,40,4,6,1,1
102992374,329,30,4,6,3,1
102992376,330,25,4,6,2,1
102992407,249,9,4,6,2,1
102992434,331,43,4,6,2,1
102992467,332,27,4,6,1,1
102992478,333,15,5,6,3,1
102992503,249,9,4,6,2,1
102992541,334,35,1,6,2,1
102992602,323,43,4,6,5,1
102982079,335,36,2,6,5,1
102982110,336,7,5,7,2,1
102981611,337,39,5,7,7,1
102981641,142,6,3,7,3,1
102981643,338,3,3,7,3,1
102981692,339,4,1,7,7,1
102981718,340,27,4,7,2,1
102981827,341,34,2,7,3,1
102981920,342,52,5,7,7,1
102981931,343,30,4,7,5,1
102981941,344,26,4,7,2,1
102981946,345,3,3,7,2,1
102981954,346,23,5,7,2,1
102981961,347,39,5,7,5,1
102981981,264,19,1,7,8,1
102982021,348,53,5,7,5,1
102982078,349,47,5,7,7,1
102971113,350,48,4,7,3,1
102962205,351,37,5,7,7,1
102980037,182,45,4,7,1,1
102980123,352,26,4,7,2,1
102980176,353,39,5,7,1,1
102980397,354,52,5,7,2,1
102980404,89,43,4,7,1,1
102980500,355,1,1,7,1,1
102980509,356,29,6,7,7,1
102980557,357,17,1,7,2,1
102980583,358,15,5,7,7,1
102980590,359,44,2,7,2,1
102980682,360,12,3,7,7,1
102980699,361,51,3,7,3,1
102980729,362,23,5,7,3,1
102980739,139,25,4,7,3,1
102980753,363,3,3,7,1,1
102980760,364,22,5,7,7,1
102980771,89,43,4,7,1,1
102980788,365,47,5,7,1,1
102980813,366,54,3,7,7,1
102980831,367,3,3,7,1,1
102980868,368,3,3,7,2,1
102980895,369,60,6,7,3,1
102980941,370,9,4,7,2,1
102981053,176,42,2,7,1,1
102981066,371,53,5,7,5,1
102981087,372,38,5,7,7,1
102981090,249,9,4,7,2,1
102981117,373,10,2,7,1,1
102981145,374,19,1,7,3,1
102981170,375,60,6,7,3,1
102981178,376,7,5,7,7,1
102981193,377,3,3,7,2,1
102981205,375,60,6,7,2,1
102981216,378,37,5,7,7,1
102981260,379,30,4,7,2,1
102981273,380,5,4,7,2,1
102981283,381,25,4,7,2,1
102981299,53,35,1,7,3,1
102981343,382,27,4,7,7,1
102981357,383,13,6,7,8,1
102981416,384,51,3,7,1,1
102981429,385,27,4,7,7,1
102981568,386,38,5,7,4,1
102981571,60,30,4,7,3,1
102981596,387,54,3,7,7,1
102981597,166,25,4,7,2,1
102981600,388,52,5,7,3,1
102972065,389,13,6,8,7,1
102962360,390,47,5,8,4,1
102970039,391,47,5,8,1,1
102970044,392,6,3,8,2,1
102970101,5,4,1,8,3,1
102970123,393,47,5,8,1,1
102970178,394,51,3,8,4,1
102970180,395,26,4,8,3,1
102970198,396,55,2,8,7,1
