number,crime,location_id,date_id,type_id
103040061,AUTO THEFT,0,0,0
103040169,LARCENY-FROM VEHICLE,1,0,1
103040301,LARCENY-NON VEHICLE,2,0,2
103040345,ROBBERY-PEDESTRIAN,3,0,2
103040385,LARCENY-NON VEHICLE,4,0,2
103040412,LARCENY-FROM VEHICLE,5,0,3
103040443,AGG ASSAULT,6,0,2
103040472,AGG ASSAULT,7,0,4
103040504,LARCENY-FROM VEHICLE,8,0,2
103040611,RAPE,9,0,5
103040890,AUTO THEFT,10,0,2
103040928,LARCENY-FROM VEHICLE,11,0,4
103040964,LARCENY-NON VEHICLE,12,0,2
103040966,AUTO THEFT,13,0,2
103040973,BURGLARY-RESIDENCE,14,0,2
103041004,LARCENY-NON VEHICLE,15,0,3
103041024,LARCENY-FROM VEHICLE,16,0,2
103041130,BURGLARY-RESIDENCE,17,0,2
103041136,AUTO THEFT,18,0,2
103041181,LARCENY-FROM VEHICLE,19,0,2
103041224,BURGLARY-RESIDENCE,20,0,2
103041231,LARCENY-FROM VEHICLE,21,0,2
103041236,BURGLARY-NONRES,22,0,2
103041263,LARCENY-NON VEHICLE,23,0,2
103041308,LARCENY-FROM VEHICLE,24,0,2
103041311,LARCENY-FROM VEHICLE,25,0,2
103041320,BURGLARY-RESIDENCE,26,0,2
103041333,AUTO THEFT,27,0,2
103041390,LARCENY-NON VEHICLE,28,0,2
103041424,LARCENY-FROM VEHICLE,29,0,4
103041455,LARCENY-NON VEHICLE,30,0,6
103041546,LARCENY-FROM VEHICLE,31,0,2
103041561,LARCENY-FROM VEHICLE,32,0,3
103041587,LARCENY-FROM VEHICLE,33,0,2
103041588,AUTO THEFT,34,0,2
103041647,AGG ASSAULT,35,0,2
103041669,LARCENY-FROM VEHICLE,36,0,2
103041670,AUTO THEFT,37,0,4
103041700,LARCENY-NON VEHICLE,38,0,7
103041703,LARCENY-FROM VEHICLE,39,0,6
103041704,LARCENY-NON VEHICLE,40,0,1
103041722,AUTO THEFT,41,0,6
103041750,LARCENY-NON VEHICLE,40,0,1
103041776,LARCENY-FROM VEHICLE,42,0,2
103041794,AUTO THEFT,43,0,8
103041832,LARCENY-FROM VEHICLE,44,0,2
103041860,LARCENY-FROM VEHICLE,45,0,3
103041864,BURGLARY-RESIDENCE,46,0,2
103041887,LARCENY-NON VEHICLE,47,0,2
103041966,AGG ASSAULT,48,0,2
103041975,AGG ASSAULT,49,0,2
103042095,LARCENY-FROM VEHICLE,50,0,2
103042108,BURGLARY-RESIDENCE,51,0,2
103042132,LARCENY-NON VEHICLE,52,0,1
103042152,LARCENY-FROM VEHICLE,40,0,1
103042163,AGG ASSAULT,53,0,2
103041842081,HOMICIDE,54,0,2
103041495080,HOMICIDE,55,0,2
103032454079,HOMICIDE,56,0,2
103040581078,HOMICIDE,57,0,2
103032507,LARCENY-NON VEHICLE,58,1,4
103032617,AGG ASSAULT,59,1,2
103031107,LARCENY-FROM VEHICLE,60,1,2
103031141,LARCENY-FROM VEHICLE,61,1,2
103031163,LARCENY-FROM VEHICLE,62,1,0
103031169,BURGLARY-RESIDENCE,63,1,4
103031236,AUTO THEFT,64,1,3
103031257,LARCENY-FROM VEHICLE,65,1,2
103031315,AUTO THEFT,66,1,1
103031385,LARCENY-FROM VEHICLE,67,1,4
103031508,ROBBERY-PEDESTRIAN,68,1,2
103031540,LARCENY-FROM VEHICLE,69,1,2
103031563,BURGLARY-RESIDENCE,70,1,2
103031573,LARCENY-NON VEHICLE,71,1,1
103031590,LARCENY-NON VEHICLE,72,1,4
103031646,BURGLARY-RESIDENCE,73,1,2
103031746,BURGLARY-RESIDENCE,74,1,2
103031804,LARCENY-FROM VEHICLE,75,1,3
103031922,LARCENY-NON VEHICLE,76,1,2
103032002,LARCENY-FROM VEHICLE,77,1,1
103032013,ROBBERY-PEDESTRIAN,78,1,2
103032044,LARCENY-NON VEHICLE,79,1,2
103032241,AUTO THEFT,80,1,4
103032340,LARCENY-FROM VEHICLE,81,1,2
103030033,LARCENY-FROM VEHICLE,82,1,3
103030182,LARCENY-FROM VEHICLE,83,1,2
103030304,AGG ASSAULT,84,1,4
103030360,AGG ASSAULT,85,1,6
103030387,ROBBERY-RESIDENCE,86,1,2
103030473,BURGLARY-RESIDENCE,87,1,2
103030594,LARCENY-FROM VEHICLE,88,1,9
103030616,AUTO THEFT,89,1,2
103030631,LARCENY-FROM VEHICLE,90,1,1
103030698,AUTO THEFT,91,1,2
103030733,BURGLARY-RESIDENCE,92,1,2
103030772,AGG ASSAULT,93,1,2
103030778,LARCENY-FROM VEHICLE,94,1,2
103030847,AUTO THEFT,95,1,2
103030855,AUTO THEFT,96,1,2
103030860,LARCENY-FROM VEHICLE,97,1,3
103030916,LARCENY-FROM VEHICLE,98,1,4
103030917,AUTO THEFT,99,1,2
103030941,LARCENY-FROM VEHICLE,60,1,2
103031052,LARCENY-FROM VEHICLE,100,1,2
103031064,LARCENY-FROM VEHICLE,101,1,2
103031082,LARCENY-NON VEHICLE,102,1,4
103022782,LARCENY-FROM VEHICLE,103,1,4
103012699,BURGLARY-RESIDENCE,104,2,2
103020069,AGG ASSAULT,105,2,6
103020373,AUTO THEFT,106,2,2
103020506,AUTO THEFT,107,2,2
103020531,AUTO THEFT,108,2,2
103020551,AUTO THEFT,109,2,2
103020638,LARCENY-FROM VEHICLE,60,2,2
103020723,LARCENY-FROM VEHICLE,110,2,3
103020741,LARCENY-FROM VEHICLE,111,2,5
103020832,LARCENY-FROM VEHICLE,112,2,2
103020845,AUTO THEFT,113,2,2
103020846,AUTO THEFT,114,2,2
103020888,LARCENY-NON VEHICLE,115,2,1
103020985,BURGLARY-RESIDENCE,116,2,2
103021027,LARCENY-FROM VEHICLE,117,2,2
103021037,LARCENY-FROM VEHICLE,118,2,2
103021067,LARCENY-FROM VEHICLE,119,2,2
103021204,AUTO THEFT,120,2,2
103021256,AUTO THEFT,121,2,6
103021265,LARCENY-NON VEHICLE,122,2,2
103021275,LARCENY-NON VEHICLE,123,2,2
103021281,BURGLARY-RESIDENCE,124,2,2
103021289,LARCENY-FROM VEHICLE,125,2,6
103021335,LARCENY-FROM VEHICLE,126,2,2
103021347,BURGLARY-RESIDENCE,127,2,2
103021411,BURGLARY-RESIDENCE,128,2,2
103021445,LARCENY-FROM VEHICLE,129,2,2
103021455,LARCENY-NON VEHICLE,130,2,3
103021457,LARCENY-NON VEHICLE,40,2,1
103021478,LARCENY-FROM VEHICLE,131,2,2
103021503,BURGLARY-RESIDENCE,132,2,2
103021526,LARCENY-NON VEHICLE,133,2,2
103021556,LARCENY-FROM VEHICLE,134,2,4
103021573,LARCENY-FROM VEHICLE,135,2,6
103021612,LARCENY-NON VEHICLE,136,2,6
103021651,LARCENY-FROM VEHICLE,137,2,2
103021741,BURGLARY-RESIDENCE,138,2,2
103021832,LARCENY-NON VEHICLE,139,2,4
103021861,ROBBERY-PEDESTRIAN,140,2,2
103021886,ROBBERY-PEDESTRIAN,141,2,3
103021891,ROBBERY-COMMERCIAL,142,2,4
103021918,AUTO THEFT,143,2,6
103021969,LARCENY-FROM VEHICLE,88,2,9
103022029,LARCENY-NON VEHICLE,144,2,2
103022071,BURGLARY-RESIDENCE,145,2,2
103022075,LARCENY-NON VEHICLE,146,2,0
103022127,LARCENY-NON VEHICLE,147,2,2
103022176,LARCENY-NON VEHICLE,14,2,2
103022218,LARCENY-NON VEHICLE,148,2,1
103022318,AUTO THEFT,149,2,2
103022389,ROBBERY-PEDESTRIAN,150,2,7
103022426,LARCENY-FROM VEHICLE,151,2,4
103022445,AGG ASSAULT,152,2,2
103022457,AGG ASSAULT,153,2,6
103022665,LARCENY-FROM VEHICLE,154,2,1
103022702,LARCENY-FROM VEHICLE,155,2,4
102970294,AGG ASSAULT,156,2,2
103010902,BURGLARY-RESIDENCE,157,3,2
103010920,BURGLARY-RESIDENCE,158,3,2
103010944,LARCENY-FROM VEHICLE,159,3,3
103010953,BURGLARY-RESIDENCE,160,3,2
103010964,LARCENY-NON VEHICLE,161,3,2
103010984,BURGLARY-RESIDENCE,162,3,2
103011049,AGG ASSAULT,163,3,2
103011051,LARCENY-NON VEHICLE,164,3,2
103011054,AUTO THEFT,123,3,2
103011066,BURGLARY-RESIDENCE,165,3,2
103011084,LARCENY-NON VEHICLE,166,3,3
103011162,LARCENY-FROM VEHICLE,167,3,2
103011169,LARCENY-FROM VEHICLE,168,3,6
103011170,AUTO THEFT,169,3,2
103011191,BURGLARY-RESIDENCE,170,3,2
103011225,ROBBERY-PEDESTRIAN,171,3,2
103011256,LARCENY-FROM VEHICLE,172,3,2
103011321,AUTO THEFT,173,3,2
103011333,LARCENY-FROM VEHICLE,174,3,2
103011362,BURGLARY-RESIDENCE,175,3,2
103011385,LARCENY-NON VEHICLE,176,3,2
103011443,AGG ASSAULT,177,3,2
103011509,LARCENY-NON VEHICLE,142,3,4
103011526,LARCENY-FROM VEHICLE,178,3,4
103011534,LARCENY-NON VEHICLE,179,3,2
103011608,LARCENY-NON VEHICLE,148,3,1
103011711,LARCENY-FROM VEHICLE,180,3,4
103011739,LARCENY-NON VEHICLE,181,3,2
103011742,BURGLARY-RESIDENCE,182,3,2
103011775,LARCENY-FROM VEHICLE,183,3,2
103011801,LARCENY-FROM VEHICLE,184,3,2
103011819,LARCENY-FROM VEHICLE,185,3,2
103011904,LARCENY-FROM VEHICLE,186,3,1
103011922,LARCENY-FROM VEHICLE,187,3,2
103012061,LARCENY-FROM VEHICLE,188,3,3
103012067,AGG ASSAULT,189,3,2
103012098,LARCENY-NON VEHICLE,115,3,1
103012137,LARCENY-NON VEHICLE,148,3,1
103012217,LARCENY-FROM VEHICLE,190,3,6
103012248,BURGLARY-RESIDENCE,191,3,2
103012308,LARCENY-NON VEHICLE,192,3,2
103012323,ROBBERY-PEDESTRIAN,193,3,4
103012325,LARCENY-FROM VEHICLE,194,3,4
103012343,LARCENY-FROM VEHICLE,195,3,4
103012371,AUTO THEFT,196,3,2
103012395,LARCENY-NON VEHICLE,197,3,2
103012411,AUTO THEFT,198,3,4
103012481,AUTO THEFT,199,3,8
103012490,LARCENY-FROM VEHICLE,200,3,2
