location_id,neighborhood_id,type_id,type,beat
0,0,0,office,401
1,1,1,shop,301
2,2,2,house_number,604
3,3,2,house_number,410
4,3,2,house_number,410
5,4,3,building,509
6,5,2,house_number,602
7,6,4,amenity,109
8,7,2,house_number,211
9,4,5,tourism,508
10,8,2,house_number,303
11,7,4,amenity,211
12,9,2,house_number,605
13,10,2,house_number,609
14,11,2,house_number,207
15,4,3,building,508
16,12,2,house_number,507
17,13,2,house_number,101
18,14,2,house_number,305
19,15,2,house_number,409
20,16,2,house_number,611
21,17,2,house_number,404
22,18,2,house_number,111
23,19,2,house_number,210
24,20,2,house_number,108
25,21,2,house_number,101
26,22,2,house_number,106
27,23,2,house_number,612
28,23,2,house_number,612
29,4,4,amenity,509
30,4,6,road,511
31,24,2,house_number,505
32,24,3,building,503
33,21,2,house_number,101
34,8,2,house_number,303
35,25,2,house_number,110
36,4,2,house_number,511
37,2,4,amenity,604
38,4,7,historic,511
39,0,6,road,401
40,26,1,shop,204
41,27,6,road,106
42,4,2,house_number,510
43,28,8,leisure,206
44,29,2,house_number,601
45,2,3,building,604
46,30,2,house_number,302
47,3,2,house_number,410
48,31,2,house_number,404
49,8,2,house_number,303
50,21,2,house_number,101
51,32,2,house_number,307
52,0,1,shop,402
53,33,2,house_number,304
54,34,2,house_number,102
55,14,2,house_number,305
56,22,2,house_number,106
57,0,2,house_number,401
58,4,4,amenity,510
59,35,2,house_number,114
60,36,2,house_number,103
61,23,2,house_number,612
62,4,0,office,512
63,4,4,amenity,508
64,24,3,building,503
65,12,2,house_number,507
66,16,1,shop,611
67,4,4,amenity,508
68,37,2,house_number,205
69,4,2,house_number,510
70,38,2,house_number,306
71,5,1,shop,602
72,24,4,amenity,502
73,39,2,house_number,310
74,6,2,house_number,109
75,4,3,building,509
76,40,2,house_number,114
77,7,1,shop,211
78,6,2,house_number,109
79,24,2,house_number,503
80,4,4,amenity,512
81,4,2,house_number,508
82,41,3,building,504
83,41,2,house_number,504
84,24,4,amenity,503
85,30,6,road,302
86,42,2,house_number,408
87,43,2,house_number,104
88,24,9,man_made,502
89,44,2,house_number,114
90,25,1,shop,110
91,45,2,house_number,501
92,32,2,house_number,307
93,46,2,house_number,110
94,23,2,house_number,612
95,47,2,house_number,305
96,38,2,house_number,306
97,48,3,building,604
98,4,4,amenity,509
99,11,2,house_number,207
100,30,2,house_number,302
101,4,2,house_number,508
102,49,4,amenity,501
103,24,4,amenity,502
104,37,2,house_number,205
105,22,6,road,103
106,33,2,house_number,304
107,50,2,house_number,312
108,39,2,house_number,310
109,51,2,house_number,104
110,24,3,building,502
111,24,5,tourism,505
112,52,2,house_number,301
113,23,2,house_number,612
114,53,2,house_number,607
115,0,1,shop,402
116,20,2,house_number,108
117,54,2,house_number,606
118,24,2,house_number,503
119,55,2,house_number,304
120,36,2,house_number,103
121,30,6,road,302
122,33,2,house_number,304
123,19,2,house_number,210
124,56,2,house_number,112
125,4,6,road,511
126,6,2,house_number,113
127,57,2,house_number,310
128,58,2,house_number,606
129,0,2,house_number,402
130,7,3,building,211
131,59,2,house_number,607
132,60,2,house_number,610
133,61,2,house_number,310
134,4,4,amenity,510
135,4,6,road,511
136,4,6,road,512
137,42,2,house_number,408
138,52,2,house_number,301
139,4,4,amenity,511
140,4,2,house_number,512
141,49,3,building,501
142,5,4,amenity,602
143,62,6,road,313
144,46,2,house_number,110
145,9,2,house_number,605
146,0,0,office,401
147,63,2,house_number,602
148,10,1,shop,609
149,64,2,house_number,108
150,4,7,historic,511
151,4,4,amenity,512
152,33,2,house_number,304
153,39,6,road,310
154,41,1,shop,504
155,43,4,amenity,104
156,4,2,house_number,512
157,8,2,house_number,303
158,56,2,house_number,112
159,5,3,building,602
160,20,2,house_number,108
161,36,2,house_number,103
162,24,2,house_number,506
163,57,2,house_number,310
164,65,2,house_number,312
165,31,2,house_number,404
166,4,3,building,507
167,5,2,house_number,602
168,4,6,road,511
169,66,2,house_number,407
170,38,2,house_number,306
171,33,2,house_number,304
172,54,2,house_number,606
173,10,2,house_number,609
174,67,2,house_number,311
175,30,2,house_number,302
176,38,2,house_number,306
177,68,2,house_number,601
178,38,4,amenity,306
179,13,2,house_number,101
180,4,4,amenity,510
181,69,2,house_number,405
182,43,2,house_number,104
183,4,2,house_number,510
184,70,2,house_number,212
185,41,2,house_number,504
186,49,1,shop,501
187,4,2,house_number,511
188,41,3,building,504
189,30,2,house_number,302
190,24,6,road,502
191,71,2,house_number,312
192,3,2,house_number,410
193,21,4,amenity,101
194,45,4,amenity,501
195,68,4,amenity,601
196,60,2,house_number,610
197,68,2,house_number,601
198,72,4,amenity,311
199,3,8,leisure,410
200,23,2,house_number,612
201,24,2,house_number,505
202,4,2,house_number,509
203,2,2,house_number,603
204,21,2,house_number,101
205,24,2,house_number,502
206,4,2,house_number,508
207,15,2,house_number,409
208,67,2,house_number,311
209,30,2,house_number,302
210,5,3,building,602
211,4,3,building,510
212,58,2,house_number,606
213,25,2,house_number,110
214,39,2,house_number,310
215,20,2,house_number,108
216,25,2,house_number,110
217,32,2,house_number,307
218,4,5,tourism,508
219,27,2,house_number,106
220,38,2,house_number,306
221,25,2,house_number,110
222,6,2,house_number,109
223,68,2,house_number,601
224,57,4,amenity,310
225,30,2,house_number,302
226,67,2,house_number,311
227,67,2,house_number,311
228,2,2,house_number,604
229,10,2,house_number,609
230,38,2,house_number,306
231,10,2,house_number,609
232,0,2,house_number,401
233,6,2,house_number,108
234,26,2,house_number,204
235,4,4,amenity,510
236,34,2,house_number,102
237,0,4,amenity,401
238,73,2,house_number,308
239,21,2,house_number,101
240,48,3,building,604
241,69,2,house_number,405
242,56,2,house_number,112
243,5,2,house_number,602
244,24,3,building,505
245,67,2,house_number,311
246,41,4,amenity,504
247,4,4,amenity,510
248,43,2,house_number,104
249,74,2,house_number,109
250,51,2,house_number,104
251,25,2,house_number,107
