neighborhood_id,neighborhood
0,West End
1,Capitol View Manor
2,Old Fourth Ward
3,Campbellton Road
4,Downtown
5,Inman Park
6,Center Hill
7,Lindbergh/Morosgo
8,Mechanicsville
9,Grant Park
10,Edgewood
11,Brookwood
12,Castleberry Hill
13,The Villages at Castleberry H
14,Chosewood Park
15,Adams Park
16,East Lake
17,Westwood Terrace
18,Westhaven
19,Pine Hills
20,Dixie Hills
21,Atlanta University Center
22,Bankhead
23,East Atlanta
24,Midtown
25,Grove Park
26,Berkeley Park
27,Knight Park/Howell Station
28,Garden Hills
29,Atkins Park
30,Pittsburgh
31,Westview
32,Lakewood Heights
33,Peoplestown
34,Vine City
35,Fairburn Heights
36,English Avenue
37,Springlake
38,Sylvan Hills
39,Browns Mill Park
40,Carroll Heights
41,Marietta Street Artery
42,Venetian Hills
43,Ashview Heights
44,Old Gordon
45,Home Park
46,Almond Park
47,South Atlanta
48,Sweet Auburn
49,Atlantic Station
50,Glenrose Heights
51,Mozley Park
52,Adair Park
53,Woodland Hills
54,Cabbagetown
55,Summerhill
56,Collier Heights
57,Lakewood
58,Reynoldstown
59,Ormewood Park
60,Kirkwood
61,Swallow Circle/Baywood
62,South River Gardens
63,Poncey-Highland
64,West Lake
65,Rosedale Heights
66,Adamsville
67,Hammond Park
68,Virginia Highland
69,Harland Terrace
70,Piedmont Heights
71,Orchard Knob
72,Perkerson
73,Rebel Valley Forest
74,Carey Park
75,Lindridge/Martin Manor
76,Ansley Park
77,Bolton
78,The Villages at East Lake
79,Blair Villa/Poole Creek
80,Harris Chiles
81,Candler Park
82,Southwest
83,Bolton Hills
84,Underwood Hills
85,Penelope Neighbors
86,Morningside/Lenox Park
87,Brookview Heights
88,Capitol View
89,Norwood Manor
90,Cascade Avenue/Road
91,Ardmore
92,West Highlands
93,Brookwood Hills
94,Rockdale
95,Chastain Park
96,Monroe Heights
97,Leila Valley
98,Oakland City
99,Capitol Gateway
100,Collier Hills
101,Lake Claire
102,Cascade Heights
103,Cross Creek
